"sample_date","site_code","vegetation_scientific_name","common_name","vegetation_rope_length"
2000-04-20,"AB101","Mirabilis",NA,NA
2000-04-20,"AB101","Aristida",NA,NA
2000-04-17,"AB111","Pectocarya recurvata",NA,NA
2000-04-17,"AB111","Sarcostemma",NA,NA
2000-04-17,"AB111","Machaeranthera",NA,NA
2000-04-17,"AB111","Amsinckia",NA,NA
2000-04-17,"AB111","Cryptantha",NA,NA
2000-04-17,"AB111","Aristida",NA,NA
2000-03-14,"AB161","Asclepias",NA,NA
2000-04-04,"AB171","unknown 2","unknown 2",NA
2000-04-04,"AB171","Lathyrus odoratus","Sweet Pea",NA
2000-04-04,"AB171","Chrysanthemum maximum",NA,NA
2000-04-04,"AB171","Lobularia maritima Snow Crystals","Sweet-alyssum",NA
2000-04-04,"AB171","Malva parviflora","Mallow, Cheese-weed",NA
2000-04-04,"AB171","Salsola kali",NA,NA
2000-04-04,"AB171","Trifolium mucronatum","Clover",NA
2000-04-04,"AB171","Alcea rosea","Hollyhock",NA
2000-04-04,"AB171","Antirrhinum",NA,NA
2000-04-04,"AB171","unknown 1","unknown 1",NA
2000-03-08,"AB191","Petunia x hybrida","Petunia",NA
2000-03-08,"AB191","Pseudorontium cyathiferum","Snapdragon",NA
2000-03-23,"AB211","Malva parviflora","Mallow, Cheese-weed",NA
2000-03-23,"AB211","Sphaeralcea",NA,NA
2000-03-23,"AB211","Cynodon",NA,NA
2000-04-17,"AC111","Pectocarya recurvata",NA,NA
2000-04-17,"AC111","Cryptantha",NA,NA
2000-04-17,"AC111","Janusia",NA,NA
2000-04-17,"AC111","Hibiscus",NA,NA
2000-04-17,"AC111","Sphaeralcea",NA,NA
2000-03-14,"AC181","Sonchus oleraceus","Annual Sow-thistle",NA
2000-03-14,"AC181","Medicago polymorpha","Bur-clover",NA
2000-03-14,"AC181","Dichondra",NA,NA
2000-03-14,"AC181","Cynodon",NA,NA
2000-05-12,"AD101","Mirabilis bigelovii","Four OClock",NA
2000-05-12,"AD101","Phoradendron californicum","Desert Mistletoe",NA
2000-05-12,"AD101","Euphorbia",NA,NA
2000-04-04,"AD171","Malva parviflora","Mallow, Cheese-weed",NA
2000-04-04,"AD171","Euphorbia",NA,NA
2000-03-23,"AD211","Malva parviflora","Mallow, Cheese-weed",NA
2000-03-23,"AD211","Lepidium",NA,NA
2000-03-23,"AD211","Chenopodium",NA,NA
2000-03-09,"AD71","Phoradendron californicum","Desert Mistletoe",NA
2000-03-09,"AD71","Cuscuta",NA,NA
2000-04-26,"AE201","Monolepis nuttalliana","Patata",NA
2000-04-26,"AE201","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-04-26,"AE201","Malva parviflora","Mallow, Cheese-weed",NA
2000-04-26,"AE201","Salsola",NA,NA
2000-03-03,"AE231","Malva parviflora","Mallow, Cheese-weed",NA
2000-03-03,"AE231","Trifolium mucronatum","Clover",NA
2000-03-03,"AE231","Amsinckia",NA,NA
2000-03-03,"AE231","Ledpidium",NA,NA
2000-03-03,"AE231","Geranium",NA,NA
2000-03-03,"AE231","Poa",NA,NA
2000-05-09,"AE91","Malva parviflora","Mallow, Cheese-weed",NA
2000-05-09,"AE91","Salsola tragus","Tumbleweed, Russian-thistle",NA
2000-05-09,"AE91","Bromus rubens","Red Brome",NA
2000-05-09,"AE91","Amsinckia",NA,NA
2000-05-09,"AE91","Brassica",NA,NA
2000-05-09,"AE91","Bromus",NA,NA
2000-04-20,"AF121","Dyssodia porophylloides",NA,NA
2000-04-20,"AF121","Pectocarya recurvata",NA,NA
2000-04-20,"AF121","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-04-20,"AF121","Bromus rubens","Red Brome",NA
2000-04-20,"AF121","Euphorbia",NA,NA
2000-04-20,"AF121","Phacelia",NA,NA
2000-04-20,"AF121","Mirabilis",NA,NA
2000-05-12,"AF141","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-05-12,"AF141","Phoradendron californicum","Desert Mistletoe",NA
2000-05-12,"AF141","Euphorbia",NA,NA
2000-04-26,"AF231","Brassica tournefortii","Mustard",NA
2000-04-26,"AF231","Chenopodium murale","Nettle-leaf Goosefoot",NA
2000-04-26,"AF231","Malva parviflora","Mallow, Cheese-weed",NA
2000-04-26,"AF231","Salsola",NA,NA
2000-04-26,"AF231","Hoffmannseggia",NA,NA
2000-04-26,"AF231","Cynodon",NA,NA
2000-04-26,"AF231","Solanum",NA,NA
2000-03-31,"F151","Erodium texanum","Heronbill, Texas Filaree",NA
2000-03-31,"H161","Pleuraphis",NA,NA
2000-03-30,"I141","Lupinus",NA,NA
2000-03-30,"I141","Janusia",NA,NA
2000-03-30,"I141","Sphaeralcea",NA,NA
2000-03-30,"I141","Mirabilis bigelovii","Four OClock",NA
2000-03-30,"I141","Stephanomeria",NA,NA
2000-03-30,"I141","Argythamnia",NA,NA
2000-03-30,"I141","Euphorbia",NA,NA
2000-03-30,"I171","Argythamnia",NA,NA
2000-03-30,"I171","Euphorbia",NA,NA
2000-05-02,"J111","Senecio",NA,NA
2000-05-02,"J111","Stephanomeria",NA,NA
2000-05-02,"J111","Dudleya",NA,NA
2000-05-02,"J111","Argythamnia",NA,NA
2000-05-02,"J111","Sphaeralcea",NA,NA
2000-05-02,"J111","Mirabilis",NA,NA
2000-05-02,"J111","Bromus",NA,NA
2000-05-02,"J111","Penstemon",NA,NA
2000-04-13,"J161","Ambrosia",NA,NA
2000-04-13,"J161","Argythamnia",NA,NA
2000-04-13,"J161","Euphorbia",NA,NA
2000-04-13,"J161","Lupinus",NA,NA
2000-04-13,"J161","Hibiscus",NA,NA
2000-04-13,"J161","Pennisetum",NA,NA
2000-04-14,"K121","Pectocarya",NA,NA
2000-02-24,"K181","Malva parviflora","Mallow, Cheese-weed",NA
2000-02-24,"K181","Aster",NA,NA
2000-02-24,"K181","Brasicaceae","yellow mustard",NA
2000-04-13,"L141","Brassica tournefortii","Mustard",NA
2000-04-13,"L141","Baileya",NA,NA
2000-04-13,"L141","Sphaeralcea",NA,NA
2000-04-13,"L141","Plantago",NA,NA
2000-02-24,"L181","Malva parviflora","Mallow, Cheese-weed",NA
2000-02-24,"L181","Cirsium neomexicanum","Thistle",NA
2000-05-10,"M171","Brassica tournefortii","Mustard",NA
2000-05-10,"M171","Malva parviflora","Mallow, Cheese-weed",NA
2000-03-17,"M91","Sphaeralcea",NA,NA
2000-03-24,"O171","Cirsium neomexicanum","Thistle",NA
2000-03-27,"O71","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-03-27,"O71","Pectocarya",NA,NA
2000-03-27,"O71","Lupinus",NA,NA
2000-03-27,"O71","Phacelia",NA,NA
2000-03-27,"O91","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-03-27,"O91","Erodium texanum","Heronbill, Texas Filaree",NA
2000-03-27,"O91","Amsinckia",NA,NA
2000-03-27,"O91","Pectocarya",NA,NA
2000-03-27,"O91","Euphorbia",NA,NA
2000-02-21,"P131","Oxalis",NA,NA
2000-04-18,"P161","Oenothera speciosa","Mexican Evening Primrose",NA
2000-04-18,"P161","Baileya",NA,NA
2000-04-18,"P161","Lupinus",NA,NA
2000-04-18,"P161","Penstemon",NA,NA
2000-03-21,"Q141","Medicago sativa","Alfalfa",NA
2000-04-28,"Q91","Sphaeralcea",NA,NA
2000-04-28,"Q91","Cynodon",NA,NA
2000-04-11,"R101","Gazania",NA,NA
2000-03-15,"R121","Petunia x hybrida","Petunia",NA
2000-03-16,"R141","Triticum aestivum","Wheat",NA
2000-03-16,"R141","Malva parviflora","Mallow, Cheese-weed",NA
2000-03-16,"R141","Brasicaceae","yellow mustard",NA
2000-03-20,"S111","Salsola",NA,NA
2000-03-20,"S111","Malva",NA,NA
2000-03-20,"S141","Cosmos",NA,NA
2000-03-20,"S141","Dianthus",NA,NA
2000-03-20,"S141","Lupinus",NA,NA
2000-03-20,"S141","Agapanthus",NA,NA
2000-03-16,"S151","Iris",NA,NA
2000-03-16,"S151","Oxalis",NA,NA
2000-04-14,"S201","Aristida wrightii",NA,NA
2000-04-14,"S201","Amsinckia",NA,NA
2000-04-14,"S201","Cryptantha",NA,NA
2000-04-14,"S201","Pectocarya",NA,NA
2000-04-14,"S201","Sisymbrium",NA,NA
2000-04-14,"S201","Argythamnia",NA,NA
2000-04-14,"S201","Euphorbia",NA,NA
2000-04-14,"S201","Phacelia",NA,NA
2000-04-14,"S201","Malva",NA,NA
2000-04-14,"S201","Eschscholzia",NA,NA
2000-04-03,"S91","Sphaeralcea",NA,NA
2000-04-19,"T141","Medicago",NA,NA
2000-03-24,"T181","Sonchus oleraceus","Annual Sow-thistle",NA
2000-03-24,"T181","Bromus rubens","Red Brome",NA
2000-03-24,"T181","Schismus",NA,NA
2000-03-24,"T181","Brasicaceae","yellow mustard",NA
2000-04-25,"T211","Aristida wrightii",NA,NA
2000-04-25,"T211","Sisymbrium irio","London Rocket",NA
2000-04-25,"T211","Eriogonum deflexum",NA,NA
2000-04-25,"T211","Argythamnia",NA,NA
2000-04-25,"T211","Plantago",NA,NA
2000-04-25,"T211","Galium",NA,NA
2000-04-03,"T81","Malva parviflora","Mallow, Cheese-weed",NA
2000-04-03,"T81","Chorizanthe rigida","Rigid Spineflower",NA
2000-04-03,"T81","Pectocarya",NA,NA
2000-04-03,"T81","Erodium",NA,NA
2000-04-03,"T81","Hilaria",NA,NA
2000-03-13,"U111","Oenothera speciosa","Mexican Evening Primrose",NA
2000-03-07,"U151","Canna x",NA,NA
2000-03-07,"U151","Nymphaea",NA,NA
2000-03-07,"U151","Typha",NA,NA
2000-04-03,"U61","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-04-03,"U61","Erodium texanum","Heronbill, Texas Filaree",NA
2000-04-03,"U61","Pectocarya",NA,NA
2000-04-03,"U81","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-04-03,"U81","Erodium texanum","Heronbill, Texas Filaree",NA
2000-04-03,"U81","Pectocarya",NA,NA
2000-04-11,"V141","Malva parviflora","Mallow, Cheese-weed",NA
2000-04-11,"V141","Pseudorontium cyathiferum","Snapdragon",NA
2000-04-11,"V141","Iris",NA,NA
2000-02-10,"V181","Malva parviflora","Mallow, Cheese-weed",NA
2000-02-10,"V181","Salsola",NA,NA
2000-02-10,"V181","Hordeum",NA,NA
2000-02-10,"V181","Schismus",NA,NA
2000-04-25,"V191","Amsinckia",NA,NA
2000-04-25,"V191","Argythamnia",NA,NA
2000-04-25,"V191","Janusia",NA,NA
2000-04-25,"V191","Sphaeralcea",NA,NA
2000-04-24,"V201","Chaenactis stevioides","Dusty-maiden",NA
2000-04-24,"V201","Lepidium lasiocarpum",NA,NA
2000-04-24,"V201","Chorizanthe brevicornu","Brittle Spineflower",NA
2000-04-24,"V201","Cryptantha",NA,NA
2000-04-24,"V201","Phacelia",NA,NA
2000-04-24,"V201","Plantago",NA,NA
2000-02-17,"W151","Euphorbia",NA,NA
2000-04-24,"W191","Argythamnia",NA,NA
2000-04-24,"W191","Euphorbia",NA,NA
2000-04-24,"W191","Sphaeralcea",NA,NA
2000-04-24,"W191","Mirabilis",NA,NA
2000-04-05,"W201","Viola",NA,NA
2000-04-05,"W201","Petunia x hybrida","Petunia",NA
2000-04-05,"W201","Matricaria",NA,NA
2000-04-05,"W201","Matthiola",NA,NA
2000-04-05,"W201","Lavandula","Lavandula sp",NA
2000-04-05,"W201","Origanum",NA,NA
2000-04-05,"W201","Papaver",NA,NA
2000-04-19,"X111","Pectocarya platycarpa",NA,NA
2000-04-19,"X111","Monolepis nuttalliana","Patata",NA
2000-04-19,"X111","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2000-04-19,"X111","Erodium texanum","Heronbill, Texas Filaree",NA
2000-04-19,"X111","Plantago ovata",NA,NA
2000-04-19,"X111","Astragalus nuttallianus","Nuttall Locoweed",NA
2000-04-19,"X111","Amsinckia",NA,NA
2000-03-20,"X121","Cyperus",NA,NA
2000-03-20,"X121","Schismus",NA,NA
2000-03-20,"X121","Sorghum",NA,NA
2000-02-08,"X171","Malva parviflora","Mallow, Cheese-weed",NA
2000-02-08,"X171","Cynodon",NA,NA
2000-04-27,"X81","Amsinckia",NA,NA
2000-04-07,"Y101","Chamaesyce hyssopifolia","Hyssop Spurge",NA
2000-04-07,"Y101","Solanum",NA,NA
2000-03-28,"Y161","Malva parviflora","Mallow, Cheese-weed",NA
2000-03-28,"Y171","Sonchus oleraceus","Annual Sow-thistle",NA
2000-03-28,"Y171","Malva parviflora","Mallow, Cheese-weed",NA
2000-03-28,"Y171","Salsola",NA,NA
2000-03-28,"Y171","Sphaeralcea",NA,NA
2000-03-28,"Y171","Solanum",NA,NA
2000-03-28,"Y171","Pennisetum ciliare",NA,NA
2000-03-28,"Y171","Cressa truxilensis",NA,NA
2000-04-05,"Y211","Dichelostemma pulchellum",NA,NA
2000-04-05,"Y211","Brassica",NA,NA
2000-04-05,"Y211","Salsola",NA,NA
2000-05-04,"Y61","Amsinckia",NA,NA
2000-05-04,"Y61","Cryptantha",NA,NA
2000-05-04,"Y61","Pectocarya",NA,NA
2000-05-04,"Y61","Lantana",NA,NA
2000-04-07,"Z101","Dichelostemma pulchellum",NA,NA
2000-04-07,"Z101","Amsinckia",NA,NA
2000-04-07,"Z101","Eucrypta",NA,NA
2000-04-07,"Z101","Sphaeralcea",NA,NA
2000-04-27,"Z111","Mirabilis bigelovii","Four OClock",NA
2000-04-27,"Z111","Aristida wrightii",NA,NA
2000-04-27,"Z111","Lepidium lasiocarpum",NA,NA
2000-04-27,"Z111","Dimorphotheca",NA,NA
2000-04-27,"Z111","Stephanomeria",NA,NA
2000-04-27,"Z111","Amsinckia",NA,NA
2000-04-27,"Z111","Sphaeralcea",NA,NA
2000-04-27,"Z111","Gilia",NA,NA
2000-02-07,"Z181","Sonchus",NA,NA
2000-03-23,"Z211","Oenothera speciosa","Mexican Evening Primrose",NA
2000-03-23,"Z211","Chrysanthemum",NA,NA
2000-03-23,"Z211","Iris",NA,NA
2005-06-08,"AA111","Portulaca oleracea","Common Purslane",NA
2005-06-08,"AA111","Spergularia salina var salina","Sand-spurry",NA
2005-06-08,"AA111","Bromus rubens","Red Brome",NA
2005-06-08,"AA111","Camissonia californica","Sun-drops",NA
2005-06-08,"AA111","Chorizanthe brevicornu","Brittle Spineflower",NA
2005-06-08,"AA111","Cryptantha",NA,NA
2005-06-08,"AA111","Cryptantha",NA,NA
2005-06-08,"AA111","Daucus pusillus","Wild Carrot, Rattlesnake Weed",NA
2005-06-08,"AA111","Eucrypta",NA,NA
2005-06-08,"AA111","Lepidium lasiocarpum",NA,NA
2005-06-08,"AA111","Lotus salsuginosus","Deer-vetch",NA
2005-06-08,"AA111","Pectocarya recurvata",NA,NA
2005-06-08,"AA111","Phacelia distans","Wild-heliotrope",NA
2005-06-08,"AA111","Plantae",NA,NA
2005-06-08,"AA111","Plantae",NA,NA
2005-06-08,"AA111","Poaceae","grass",NA
2005-06-08,"AA111","Schismus",NA,NA
2005-06-08,"AA111","Selaginella arizonica","Spikemoss",NA
2005-06-08,"AA111","Silene antirrhina","Sleepy-catchfly",NA
2005-06-08,"AA111","Stylocline",NA,NA
2005-05-05,"AA171","Eragrostis mexicana","Lovegrass",NA
2005-05-05,"AA171","Asparagus officinalis",NA,NA
2005-05-05,"AA171","Brachychiton populneum",NA,NA
2005-05-05,"AA171","Brachychiton populneum",NA,NA
2005-05-05,"AA171","Carissa macrocarpa",NA,NA
2005-05-05,"AA171","Carissa macrocarpa",NA,NA
2005-05-05,"AA171","Chamaesyce albomarginata","Sand-mat, Spurge",NA
2005-05-05,"AA171","Chamaesyce polycarpa",NA,NA
2005-05-05,"AA171","Chamaesyce polycarpa",NA,NA
2005-05-05,"AA171","Convolvulus",NA,NA
2005-05-05,"AA171","Conyza bonariensis",NA,NA
2005-05-05,"AA171","Conyza canadensis","Horseweed",NA
2005-05-05,"AA171","Euphorbia",NA,NA
2005-05-05,"AA171","Oxalis corniculata","Creeping Woodsorrel",NA
2005-05-05,"AA171","Plantae",NA,NA
2005-05-05,"AA171","Plantago ovata",NA,NA
2005-05-05,"AA171","Ruellia peninsularis","Desert Ruellia",NA
2005-05-05,"AA171","Ruellia peninsularis","Desert Ruellia",NA
2005-05-05,"AA171","Salsola tragus","Tumbleweed, Russian-thistle",NA
2005-05-05,"AA171","Salsola tragus","Tumbleweed, Russian-thistle",NA
2005-05-05,"AA171","Schismus arabicus","Schismus",NA
2005-05-05,"AA171","Sonchus",NA,NA
2005-05-05,"AA171","Sonchus",NA,NA
2005-02-23,"AA181","Lactuca serriola","Prickly Lettuce",NA
2005-02-23,"AA181","Phacelia affinis",NA,NA
2005-02-23,"AA181","Brassica oleracea","Brussels Sprouts,Kale, Brocolli etc.",NA
2005-02-23,"AA181","Cotula australis","Australian Brass Buttons",NA
2005-02-23,"AA181","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2005-02-23,"AA181","Hedypnois cretica",NA,NA
2005-02-23,"AA181","Malva parviflora","Mallow, Cheese-weed",NA
2005-02-23,"AA181","Medicago lupulina","Black Medic",NA
2005-02-23,"AA181","Plantae",NA,NA
2005-02-23,"AA181","Senecio vulgaris",NA,NA
2005-02-23,"AA181","Sisymbrium irio","London Rocket",NA
2005-02-23,"AA181","Sonchus",NA,NA
2005-02-23,"AA181","Sonchus",NA,NA
2005-02-23,"AA181","Sonchus asper","Spiny Sow-thistle",NA
2005-05-06,"AA191","Hymenoxys odorata","Bitter Rubberweed",NA
2005-05-06,"AA191","Lactuca serriola","Prickly Lettuce",NA
2005-05-06,"AA191","Portulaca halimoides",NA,NA
2005-05-06,"AA191","Brassica oleracea","Brussels Sprouts,Kale, Brocolli etc.",NA
2005-05-06,"AA191","Amaranthus graecizans",NA,NA
2005-05-06,"AA191","Amaranthus hybridus",NA,NA
2005-05-06,"AA191","Atriplex elegans","Salton Saltbush, Wheel-scale",NA
2005-05-06,"AA191","Boerhavia coccinea","Red Spiderling",NA
2005-05-06,"AA191","Bromus rubens","Red Brome",NA
2005-05-06,"AA191","Capsella bursa-pastoris","Shepards Purse, Paniquesillo",NA
2005-05-06,"AA191","Chamaesyce albomarginata","Sand-mat, Spurge",NA
2005-05-06,"AA191","Chenopodiaceae",NA,NA
2005-05-06,"AA191","Chenopodium berlandieri","Pitseed Goosefoot",NA
2005-05-06,"AA191","Cynodon dactylon","Bermuda Grass, Tiff green",NA
2005-05-06,"AA191","Eclipta prostrata","False Daisy",NA
2005-05-06,"AA191","Hordeum murinum",NA,NA
2005-05-06,"AA191","Lactuca serriola","Prickly Lettuce",NA
2005-05-06,"AA191","Malva parviflora","Mallow, Cheese-weed",NA
2005-05-06,"AA191","Melilotus indica",NA,NA
2005-05-06,"AA191","Phalaris minor","Canary Grass",NA
2005-05-06,"AA191","Portulaca oleracea","Common Purslane",NA
2005-05-06,"AA191","Salsola tragus","Tumbleweed, Russian-thistle",NA
2005-05-06,"AA191","Schismus arabicus","Schismus",NA
2005-05-06,"AA191","Sisymbrium irio","London Rocket",NA
2005-05-06,"AA191","Sonchus asper","Spiny Sow-thistle",NA
2005-05-06,"AA191","Sonchus oleraceus","Annual Sow-thistle",NA
2005-05-06,"AA191","Tribulus terrestris","Puncture Vine, Bullheads",NA
2005-02-23,"AA201","Brassica oleracea","Brussels Sprouts,Kale, Brocolli etc.",NA
2005-02-23,"AA201","Brassicaceae",NA,NA
2005-02-23,"AA201","Chenopodium",NA,NA
2005-02-23,"AA201","Juniperus chinensis","Juniper",NA
2005-02-23,"AA201","Lactuca serriola","Prickly Lettuce",NA
2005-02-23,"AA201","Malva parviflora","Mallow, Cheese-weed",NA
2005-02-23,"AA201","Sisymbrium irio","London Rocket",NA
2005-02-23,"AA201","Sonchus oleraceus","Annual Sow-thistle",NA
2005-02-23,"AA211","Brassica oleracea","Brussels Sprouts,Kale, Brocolli etc.",NA
2005-02-23,"AA211","Eragrostis mexicana","Lovegrass",NA
2005-02-23,"AA211","Carissa macrocarpa",NA,NA
2005-02-23,"AA211","Convolvulus mauritanicus",NA,NA
2005-02-23,"AA211","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2005-02-23,"AA211","Hibiscus grandiflorus",NA,NA
2005-02-23,"AA211","Plantae",NA,NA
2005-02-23,"AA211","Plantae",NA,NA
2005-02-23,"AA211","Plantae",NA,NA
2005-02-23,"AA211","Sisymbrium irio","London Rocket",NA
2005-03-04,"AA91","Portulaca oleracea","Common Purslane",NA
2005-03-04,"AA91","Amsinckia menziesii","Menzies' fiddleneck",NA
2005-03-04,"AA91","Bowlesia incana","Hairy Bowlesia",NA
2005-03-04,"AA91","Bromus rubens","Red Brome",NA
2005-03-04,"AA91","Chamaesyce melanadenia","Spurge",NA
2005-03-04,"AA91","Cryptantha",NA,NA
2005-03-04,"AA91","Dasyochloa pulchella","Low woollygrass",NA
2005-03-04,"AA91","Dichelostemma pulchellum",NA,NA
2005-03-04,"AA91","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2005-03-04,"AA91","Eucrypta micrantha",NA,NA
2005-03-04,"AA91","Filago arizonica","Fluffweed",NA
2005-03-04,"AA91","Layia glandulosa","Tidy-tips",NA
2005-03-04,"AA91","Layia glandulosa","Tidy-tips",NA
2005-03-04,"AA91","Lupinus concinnus","Bajada Lupine",NA
2005-03-04,"AA91","Pectocarya recurvata",NA,NA
2005-03-04,"AA91","Phacelia distans","Wild-heliotrope",NA
2005-03-04,"AA91","Plantago patagonica","Indian-wheat",NA
2005-03-04,"AA91","Uropappus lindleyi","Silver Puffs",NA
2005-03-04,"AA91","Uropappus lindleyi","Silver Puffs",NA
2005-04-26,"AB101","Malacothrix glabrata","Desert-dandelion",NA
2005-04-26,"AB101","Claytonia perfoliata ssp. mexicana (Rydb.) Miller & Chambers","Miners Lettuce",NA
2005-04-26,"AB101","Portulaca oleracea","Common Purslane",NA
2005-04-26,"AB101","Anagallis arvensis","Scarlet Pimpernel, Poor Mans Weatherglass",NA
2005-04-26,"AB101","Pectocarya anisacarpa",NA,NA
2005-04-26,"AB101","Amsinckia menziesii","Menzies' fiddleneck",NA
2005-04-26,"AB101","Amsinckia tessellata","Bristly fiddleneck",NA
2005-04-26,"AB101","Aristida purpurea","Purple Three-awn",NA
2005-04-26,"AB101","Aristida purpurea","Purple Three-awn",NA
2005-04-26,"AB101","Bromus rubens","Red Brome",NA
2005-04-26,"AB101","Camissonia micrantha","Sun-drops",NA
2005-04-26,"AB101","Chamaesyce polycarpa",NA,NA
2005-04-26,"AB101","Chenopodium",NA,NA
2005-04-26,"AB101","Chorizanthe brevicornu","Brittle Spineflower",NA
2005-04-26,"AB101","Dasyochloa pulchella","Low woollygrass",NA
2005-04-26,"AB101","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2005-04-26,"AB101","Herniaria hirsuta","Burstwort",NA
2005-04-26,"AB101","Lasthenia californica","Goldfields",NA
2005-04-26,"AB101","Lepidium lasiocarpum",NA,NA
2005-04-26,"AB101","Lotus humistratus","Deer-vetch, Hill Locust",NA
2005-04-26,"AB101","Lotus humistratus","Deer-vetch, Hill Locust",NA
2005-04-26,"AB101","Lotus tomentellus",NA,NA
2005-04-26,"AB101","Pectocarya platycarpa",NA,NA
2005-04-26,"AB101","Pectocarya recurvata",NA,NA
2005-04-26,"AB101","Plagiobothrys arizonicus","Bloodweed",NA
2005-04-26,"AB101","Plantae",NA,NA
2005-04-26,"AB101","Plantae",NA,NA
2005-04-26,"AB101","Plantago patagonica","Indian-wheat",NA
2005-04-26,"AB101","Poaceae","grass",NA
2005-04-26,"AB101","Prosopis juliflora var. velutina",NA,NA
2005-04-26,"AB101","Sphaeralcea ambigua","Globe Mallow",NA
2005-03-16,"AB111","Plagiobothrys pringlei",NA,NA
2005-03-16,"AB111","Lesquerella tenella","Bladderpod",NA
2005-03-16,"AB111","Phacelia cryptantha",NA,NA
2005-03-16,"AB111","Eriogonum thomasii","Wild Buckwheat",NA
2005-03-16,"AB111","Portulaca oleracea","Common Purslane",NA
2005-03-16,"AB111","Anagallis arvensis","Scarlet Pimpernel, Poor Mans Weatherglass",NA
2005-03-16,"AB111","Pectocarya anisacarpa",NA,NA
2005-03-16,"AB111","Amsinckia menziesii","Menzies' fiddleneck",NA
2005-03-16,"AB111","Asteraceae",NA,NA
2005-03-16,"AB111","Bowlesia incana","Hairy Bowlesia",NA
2005-03-16,"AB111","Bromus rubens","Red Brome",NA
2005-03-16,"AB111","Calandrinia ciliata","Rock-purslane, Red-maids",NA
2005-03-16,"AB111","Crassula connata","Pygmyweed",NA
2005-03-16,"AB111","Dichelostemma pulchellum",NA,NA
2005-03-16,"AB111","Draba cuneifolia",NA,NA
2005-03-16,"AB111","Erodium cicutarium","Red-stemmed Filaree, Heronbill",NA
2005-03-16,"AB111","Eucrypta chrysanthemifolia",NA,NA
2005-03-16,"AB111","Filago arizonica","Fluffweed",NA
2005-03-16,"AB111","Harpagonella palmeri","Palmers Grappling Hook",NA
2005-03-16,"AB111","Herniaria hirsuta","Burstwort",NA
2005-03-16,"AB111","Lepidium lasiocarpum",NA,NA
2005-03-16,"AB111","Lotus humistratus","Deer-vetch, Hill Locust",NA
